uid,wikidata_url,frwiki_url,education_institutions,degrees,majors,occupations,employers,education_detail
267402,http://www.wikidata.org/entity/Q2925446,https://fr.wikipedia.org/wiki/Brigitte_Le_Brethon,université de Caen-Normandie,,,personnalité politique,,université de Caen-Normandie
267407,http://www.wikidata.org/entity/Q663987,"https://fr.wikipedia.org/wiki/Paul_Giacobbi_(homme_politique,_1957)",lycée Henri-IV | lycée Louis-le-Grand,,,personnalité politique,,lycée Henri-IV | lycée Louis-le-Grand
267416,http://www.wikidata.org/entity/Q3165874,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_R%C3%A9g%C3%A8re,,,,personnalité politique,,
267419,http://www.wikidata.org/entity/Q3291909,https://fr.wikipedia.org/wiki/Marie-H%C3%A9l%C3%A8ne_des_Esgaulx,,,,anciennes professions intermédiaires | avocat ou avocate | personnalité politique,,
267424,http://www.wikidata.org/entity/Q954006,https://fr.wikipedia.org/wiki/Jean-Paul_Garraud,École nationale de la magistrature,,,avocat ou avocate | magistrat ou magistrate | personnalité politique,,École nationale de la magistrature
267427,http://www.wikidata.org/entity/Q3367532,https://fr.wikipedia.org/wiki/Pascal_M%C3%A9nage,,,,personnalité politique,,
267429,http://www.wikidata.org/entity/Q3028388,https://fr.wikipedia.org/wiki/Dino_Cinieri,,,,"anciens artisans, commerçants, chefs d'entreprise | pensionné | personnalité politique",,
267433,http://www.wikidata.org/entity/Q3106130,https://fr.wikipedia.org/wiki/Gilles_Bourdouleix,,,,avocat ou avocate | personnalité politique | professions libérales et assimilés,,
267440,http://www.wikidata.org/entity/Q3591087,https://fr.wikipedia.org/wiki/%C3%89ric_Diard,,,,personnalité politique | professions libérales et assimilés,,
267443,http://www.wikidata.org/entity/Q3439997,https://fr.wikipedia.org/wiki/Roland_Chassain,,,,"anciens artisans, commerçants, chefs d'entreprise | pensionné | personnalité politique",,
267450,http://www.wikidata.org/entity/Q2597745,https://fr.wikipedia.org/wiki/R%C3%A9mi_Delatte,,,,agriculteur ou agricultrice | personnalité politique,,
267456,http://www.wikidata.org/entity/Q3370296,https://fr.wikipedia.org/wiki/Paul-Henri_Cugnenc,,,,chirurgien ou chirurgienne | personnalité politique,,
267457,http://www.wikidata.org/entity/Q3587715,https://fr.wikipedia.org/wiki/%C3%89lie_Aboud,,,,cardiologue | personnalité politique,,
267459,http://www.wikidata.org/entity/Q2977503,https://fr.wikipedia.org/wiki/Claude_Greff,,,,permanent politique | personnalité politique,,
267460,http://www.wikidata.org/entity/Q3420976,https://fr.wikipedia.org/wiki/Raymond_Lancelin,,,,personnalité politique,,
267469,http://www.wikidata.org/entity/Q3310603,https://fr.wikipedia.org/wiki/Michel_Piron_(homme_politique),,,,personnalité politique,,
267479,http://www.wikidata.org/entity/Q3197944,https://fr.wikipedia.org/wiki/Kl%C3%A9ber_Mesquida,,,,pensionné | personnalité politique,,
267487,http://www.wikidata.org/entity/Q3081419,https://fr.wikipedia.org/wiki/Francis_Falala,université de Reims-Champagne-Ardenne,,,personnalité politique,,université de Reims-Champagne-Ardenne
267492,http://www.wikidata.org/entity/Q2395973,https://fr.wikipedia.org/wiki/Jean-Jacques_Candelier,,,,anciens cadres | pensionné | personnalité politique,,
267499,http://www.wikidata.org/entity/Q12934,https://fr.wikipedia.org/wiki/Christophe_Guilloteau,,,,personnalité politique,,
2675,http://www.wikidata.org/entity/Q2848614,https://fr.wikipedia.org/wiki/Andr%C3%A9_Santini,Institut d'études politiques de Paris | Institut national des langues et civilisations orientales | faculté de droit et des sciences économiques de Paris | lycée Pasteur de Neuilly-sur-Seine | université Paris-I-Panthéon-Sorbonne,doctorat,droit privé,"juriste | personnalité politique | personnes diverses sans activité professionnelle de 60 ans et plus sauf retraités | professeur d'université | professeurs, professions scientifiques",,"Institut d'études politiques de Paris | Institut national des langues et civilisations orientales | faculté de droit et des sciences économiques de Paris | lycée Pasteur de Neuilly-sur-Seine | université Paris-I-Panthéon-Sorbonne (doctorat, droit privé)"
267506,http://www.wikidata.org/entity/Q3380870,https://fr.wikipedia.org/wiki/Philippe_Vitel,,,,chirurgien plasticien ou chirurgienne plasticienne | personnalité politique | professions libérales et assimilés,,
267509,http://www.wikidata.org/entity/Q2829684,https://fr.wikipedia.org/wiki/Alain_Cortade,,,,personnalité politique,,
267512,http://www.wikidata.org/entity/Q2271854,https://fr.wikipedia.org/wiki/Alain_Marc_(homme_politique),université Paul-Valéry,,histoire,enseignant ou enseignante | pensionné | personnalité politique,,université Paul-Valéry (histoire)
267519,http://www.wikidata.org/entity/Q2483192,https://fr.wikipedia.org/wiki/Yvan_Lachaud,université de Montpellier,,,chefs d'entreprise de 10 salariés ou plus | personnalité politique,,université de Montpellier
267522,http://www.wikidata.org/entity/Q3035239,https://fr.wikipedia.org/wiki/Dominique_Juillot,,,,chef ou cheffe d'entreprise | chefs d'entreprise de 10 salariés ou plus | entraîneur de basket-ball | personnalité politique,,
267527,http://www.wikidata.org/entity/Q3295273,https://fr.wikipedia.org/wiki/Martial_Saddier,,,,personnalité politique,,
267532,http://www.wikidata.org/entity/Q3288040,https://fr.wikipedia.org/wiki/Marc_Francina,,,,banquier | personnalité politique,,
267534,http://www.wikidata.org/entity/Q3265107,https://fr.wikipedia.org/wiki/Luce_Pane,,,,anciennes professions intermédiaires | fonctionnaire de catégorie A | personnalité politique,,
267542,http://www.wikidata.org/entity/Q3083236,https://fr.wikipedia.org/wiki/Marie-Ren%C3%A9e_Oget,,,,personnalité politique,,
267545,http://www.wikidata.org/entity/Q3086424,https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Branget,,,,personnalité politique,,
267549,http://www.wikidata.org/entity/Q3369082,https://fr.wikipedia.org/wiki/Patricia_Burckhart-Vandevelde,,,,personnalité politique,,
267551,http://www.wikidata.org/entity/Q3159251,https://fr.wikipedia.org/wiki/Jacques_Lamblin,,,,personnalité politique | vétérinaire,,
267553,http://www.wikidata.org/entity/Q3334944,https://fr.wikipedia.org/wiki/Nadine_Morano,Université de Lorraine,,,personnalité politique,,Université de Lorraine
267556,http://www.wikidata.org/entity/Q2830088,https://fr.wikipedia.org/wiki/Alain_Marty,,,,anciennes professions intermédiaires | médecin | personnalité politique,,
267561,http://www.wikidata.org/entity/Q2925398,https://fr.wikipedia.org/wiki/Brigitte_Bar%C3%A8ges,,,,avocat ou avocate | personnalité politique | professions libérales et assimilés,,
267570,http://www.wikidata.org/entity/Q731633,https://fr.wikipedia.org/wiki/Jean-Marie_Rolland,,,,personnalité politique,,
267573,http://www.wikidata.org/entity/Q3484436,https://fr.wikipedia.org/wiki/Simon_Renucci,faculté des sciences médicales et paramédicales de Marseille,,,médecin | personnalité politique,,faculté des sciences médicales et paramédicales de Marseille
267576,http://www.wikidata.org/entity/Q3288709,https://fr.wikipedia.org/wiki/Marcel_Bonnot,,,,personnalité politique,,
267585,http://www.wikidata.org/entity/Q3081737,https://fr.wikipedia.org/wiki/Francis_Vercamer,École des hautes études d'ingénieur - Junia,,,ingénieurs et cadres techniques d'entreprise | personnalité politique,,École des hautes études d'ingénieur - Junia
267591,http://www.wikidata.org/entity/Q12937,https://fr.wikipedia.org/wiki/Georges_Fenech,université Jean-Moulin-Lyon-III,,,juge | juriste | magistrat ou magistrate | parlementaire | personnalité politique,,université Jean-Moulin-Lyon-III
267598,http://www.wikidata.org/entity/Q3185940,https://fr.wikipedia.org/wiki/Josette_Pons,,,,personnalité politique,,
267605,http://www.wikidata.org/entity/Q455023,https://fr.wikipedia.org/wiki/Val%C3%A9rie_P%C3%A9cresse,HEC Paris | École nationale d'administration,,,magistrat ou magistrate | ministre | personnalité politique,HEC Paris | Institut d'études politiques de Paris,HEC Paris | École nationale d'administration
267606,http://www.wikidata.org/entity/Q3574002,https://fr.wikipedia.org/wiki/Yves_Vandewalle,,,,enseignant ou enseignante du secondaire | personnalité politique,,
267615,http://www.wikidata.org/entity/Q2848605,https://fr.wikipedia.org/wiki/Andr%C3%A9_Samitier,,,,personnalité politique,,
267622,http://www.wikidata.org/entity/Q10287,https://fr.wikipedia.org/wiki/Manuel_Valls,université Paris-I-Panthéon-Sorbonne,,,personnalité politique | professions libérales et assimilés,,université Paris-I-Panthéon-Sorbonne
267623,http://www.wikidata.org/entity/Q2939324,https://fr.wikipedia.org/wiki/Carlos_Da_Silva_(homme_politique),,,,instituteur ou institutrice | personnalité politique,,
267628,http://www.wikidata.org/entity/Q268595,https://fr.wikipedia.org/wiki/Nathalie_Kosciusko-Morizet,lycée Jean-Pierre-Vernant | lycée Louis-le-Grand | École polytechnique,,,personnalité politique,Capgemini,lycée Jean-Pierre-Vernant | lycée Louis-le-Grand | École polytechnique
267638,http://www.wikidata.org/entity/Q3158299,https://fr.wikipedia.org/wiki/Jacques_Bobe,,,,personnalité politique,,
